cliente,gender,SeniorCitizen,Partner,Dependents,tenure,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,cargo mensual,cargo total,Cuentas_Diarias,Gasto_Diario_Historico,internet_Fiber optic,internet_No,telefono_Yes,cancelacion_Yes
0181-ritdd,Male,0,Yes,Yes,62,No,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,108.15,6825.65,1.4415369368760127,3.6697043010752686,true,False,true,False
0186-caerr,Male,0,No,No,71,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),116.3,8309.55,1.7120539174326181,3.901197183098591,true,False,true,False
0187-qsxoe,Male,1,Yes,No,7,No,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.0,605.45,0.8059050132368721,2.883095238095238,true,False,true,False
0187-wznab,Female,0,Yes,Yes,27,No,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,74.4,1972.35,0.321297906963689,2.435,true,False,true,False
0188-gwfle,Male,0,No,No,2,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.05,33.7,-1.4827018345395642,0.5616666666666668,false,True,true,False
0191-equuh,Female,0,No,Yes,25,No phone service,Yes,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),35.05,844.45,-0.9848178212451982,1.1259333333333335,false,False,false,False
0191-zhskz,Male,1,No,No,30,No,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.75,2111.3,0.33291520060722424,2.345888888888889,false,False,true,False
0193-eszxp,Female,1,Yes,No,58,No,Yes,Yes,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),105.5,6205.5,1.3535774278606747,3.5663793103448276,true,False,true,True
0195-iescp,Male,0,Yes,No,10,Yes,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,85.25,855.3,0.6814340099132806,2.851,true,False,true,True
0196-jtuqi,Female,0,No,No,9,Yes,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),75.2,633.85,0.3478517210060554,2.347592592592593,true,False,true,False
0196-vulgz,Female,1,Yes,No,6,Yes,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.35,474.9,0.6515609691156184,2.638333333333333,true,False,true,True
0197-pnknk,Female,0,Yes,Yes,69,Yes,Yes,No,Yes,No,No,No,One year,No,Bank transfer (automatic),84.45,5848.6,0.6548801958709143,2.825410628019324,true,False,true,False
0201-mibol,Female,1,No,No,66,Yes,Yes,No,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),102.4,6471.85,1.250681398446506,3.2686111111111114,true,False,true,False
0201-oamxr,Female,0,No,No,70,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),115.55,8127.6,1.6871597167679,3.8702857142857146,true,False,true,True
0203-hhyij,Male,0,No,No,25,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),25.3,676.35,-1.3084424298865363,0.9018,false,True,true,True
0206-oyvoc,Female,0,Yes,Yes,46,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.25,864.2,-1.5092556485819306,0.626231884057971,false,True,true,False
0206-tbwlc,Female,0,Yes,No,54,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Mailed check,114.65,6049.5,1.6572866759702383,3.734259259259259,true,False,true,False
0207-mdknv,Female,0,No,No,15,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,105.1,1582.75,1.3403005208394914,3.5172222222222222,true,False,true,True
0208-bpqej,Female,0,Yes,Yes,12,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),19.4,198.1,-1.504276808448987,0.5502777777777778,false,True,true,False
0212-isbbf,Female,0,No,No,22,No phone service,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,50.35,1098.85,-0.4769761276849446,1.6649242424242423,false,False,false,False
0214-jhpfw,Female,0,Yes,No,70,No phone service,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),57.8,4039.3,-0.22969373441540963,1.9234761904761906,false,False,false,False
0215-bqkgs,Male,0,No,No,30,No,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),84.3,2438.6,0.6499013557379707,2.7095555555555553,true,False,true,False
0218-qnvas,Male,0,Yes,Yes,71,Yes,No,Yes,No,No,Yes,Yes,One year,No,Bank transfer (automatic),100.55,7113.75,1.189275703473534,3.339788732394366,true,False,true,False
0219-qaerp,Male,0,Yes,No,30,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),19.8,576.65,-1.4909999014278035,0.6407222222222222,false,True,true,False
0219-ytzue,Male,0,Yes,Yes,4,Yes,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),84.8,371.9,0.6664974895144495,3.0991666666666666,true,False,true,True
0220-ebgce,Male,0,No,No,2,No,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,85.85,167.3,0.7013493704450549,2.7883333333333336,true,False,true,True
0221-nauxk,Male,0,No,Yes,10,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),19.95,219.5,-1.4860210612948601,0.7316666666666667,false,True,true,False
0221-wmxnq,Male,1,No,No,4,No,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,75.35,273.4,0.35283056113899847,2.2783333333333333,true,False,true,False
0222-cnvpt,Male,1,No,No,52,No phone service,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),48.8,2555.05,-0.5284241423920294,1.6378525641025643,false,False,false,False
0224-hjapt,Male,0,No,No,5,Yes,No,No,No,No,No,No,Month-to-month,No,Electronic check,47.15,223.15,-0.5831913838544096,1.4876666666666667,false,False,true,True
0224-nijlp,Male,0,Yes,Yes,8,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.15,165.5,-1.4793826077842684,0.6895833333333333,false,True,true,False
0224-rlwwd,Female,1,No,No,2,No,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,44.3,89.3,-0.6777893463803392,1.4883333333333333,false,False,true,False
0225-zorzp,Male,0,No,No,3,No,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,84.3,235.05,0.6499013557379707,2.611666666666667,true,False,true,False
0228-mauwc,Male,0,No,No,19,Yes,No,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,59.55,1144.6,-0.1716072661977336,2.008070175438596,false,False,true,False
0229-lfjaf,Male,0,No,No,72,Yes,Yes,Yes,Yes,Yes,No,No,Two year,No,Bank transfer (automatic),69.65,4908.25,0.16363463608713985,2.272337962962963,false,False,true,False
0230-ubypq,Male,1,Yes,No,63,No phone service,Yes,No,No,Yes,No,No,One year,No,Bank transfer (automatic),36.1,2298.9,-0.9499659403145925,1.2163492063492063,false,False,false,False
0230-wequw,Male,0,Yes,No,66,No phone service,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),56.6,3789.2,-0.26952445547895876,1.9137373737373737,false,False,false,False
0231-lxvap,Male,0,No,No,1,No,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,75.9,75.9,0.3710863082931259,2.5300000000000002,true,False,true,True
